SEGUIMIENTO_(TASAS),SEGUIMIENTO_(TASAS),SEGUIMIENTO_(TASAS),Año_académico,Año_académico,Año_académico,Año_académico,Año_académico
SEGUIMIENTO (TASAS),SEGUIMIENTO (TASAS),SEGUIMIENTO (TASAS),2018/19,2019/20,2020/21,2021/22,2022/23
Titulación,Rendimiento,Rendimiento,"68,06%","74,02%","70,23%","70,30%","71,07%"
Titulación,Eficiencia,Eficiencia,"77,88%","77,15%","83,23%","83,05%","82,71%"
Titulación,Abandono,Abandono,"15,44%","19,20%","19,20%","19,20%","19,20%"
Titulación,Graduación,Graduación,"52,57%","34,78%","34,78%","34,78%","34,78%"
TFT,Rendimiento,1S,"53,40%","55,81%","56,04%","53,15%","40,82%"
TFT,Rendimiento,2S,"68,04%","56,80%","54,76%","66,51%","63,08%"
TFT,Rendimiento,Conv. extra.,"58,75%","59,14%","60,50%","48,36%","52,34%"
TFT,Éxito,1S,"100,00%","100,00%","100,00%","100,00%","100,00%"
TFT,Éxito,2S,"100,00%","100,00%","100,00%","100,00%","100,00%"
TFT,Éxito,Conv. extra.,"100,00%","100,00%","100,00%","100,00%","100,00%"
TFT,Absentismo,1S,"46,60%","44,19%","43,96%","46,85%","57,14%"
TFT,Absentismo,2S,"31,96%","43,20%","45,24%","33,49%","36,67%"
TFT,Absentismo,Conv. extra.,"41,25%","40,86%","39,50%","51,64%","45,31%"
