Columna_1,Columna_2,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7,Columna_8,Columna_9,Columna_10,Columna_11
SEGUIMIENTO (TASAS),,,Año académico,,,,,Datos,,Comentarios
,,,2018/19,2019/20,2020/21,2021/22,2022/23,Origen,Fecha,
Titulación,Rendimiento,,"68,06%","74,02%","70,23%","70,30%","71,07%",UPM Drive,31/10/2023,
,Eficiencia,,"77,88%","77,15%","83,23%","83,05%","82,71%",,,
,Abandono,,"15,44%","19,20%",,,,,,
,Graduación,,"52,57%","34,78%",,,,,,
TFT,Rendimiento,1S,"53,40%","55,81%","56,04%","53,15%","40,82%",Ágora,22/12/2023,
,,2S,"68,04%","56,80%","54,76%","66,51%","63,08%",,,
,,Conv. extra.,"58,75%","59,14%","60,50%","48,36%","52,34%",,,
,Éxito,1S,"100,00%","100,00%","100,00%","100,00%","100,00%",,,
,,2S,"100,00%","100,00%","100,00%","100,00%","100,00%",,,
,,Conv. extra.,"100,00%","100,00%","100,00%","100,00%","100,00%",,,
,Absentismo,1S,"46,60%","44,19%","43,96%","46,85%","57,14%",,,
,,2S,"31,96%","43,20%","45,24%","33,49%","36,67%",,,
,,Conv. extra.,"41,25%","40,86%","39,50%","51,64%","45,31%",,,
